"url","url-block","image","title","comment"
"http://www.yocanonline.com/product/",".product-inner",".product-image",".woocommerce-loop-product__title",
"https://grav.com/",".product-card",".card-image",".prodcard-title",
"https://recoilrda.com/",".image-inner",".image",".caption.upper",
"https://www.wulfmods.com/",".product-image",".item-images",".item-title",
"http://www.weecke.com/",".vc_gitem-link.vc-zone-link",".vc_gitem-zone-img",".vc_custom_heading.vc_gitem-post-data.vc_gitem-post-data-source-post_title",
"https://www.sutravape.com/",".product-image",".item-images",".item-title",
"http://www.openvapeshop.com/",".list-container",".list-image-wrapper",".list-title",
"http://www.cthulhumod.com/",".wp-caption",".elementor-image",".widget-image-caption.wp-caption-text",
"https://www.scorpionmods.com/",".product-item",".boxify-image.js-boxify-image.center-contain.sl-lazy-image ",".title.text-primary-color",
"http://www.wismec.com/",".product-label",".product-image",".product-name",
"https://www.wismec.co.uk/new-releases.html",".product-label",".product-image",".product-name",
"https://www.suorinusa.com/pages/about-us",".box--product-image.primary",".box--product-image.primary",".overflowed",
"http://armageddonmfg.com/",".quickview",".img",".name",
"https://thehushpen.com/",".info",".relative.product_image",".title",
"http://www.smpovapor.com/",".image-wrap",".image-wrap",".title",
"https://subohminnovations.com/",".clearfix",".image",".title",
"http://www.steamcrave.com/",".item.fl",".img.pic_box",".name",
"https://www.revenantvape.com/products/",".woocommerce-LoopProduct-link.woocommerce-loop-product__link",".attachment-woocommerce_thumbnail.size-woocommerce_thumbnail.wp-post-image",".woocommerce-loop-product__title",
"http://www.bec-vape.com/",".product-list-cover","..lazyloaded",".product-name",
"https://www.govype.com/uk/",".product-item-link",".product-image-photo",".product.name",
"http://ghostickpod.com/pod-system/",".fusion-link-wrapper",".attachment-full.size-full.wp-post-image",".blog-shortcode-post-title.entry-title",
"http://www.fumy-tech.com/gb/",".pro_img_box",".product_img_link",".s_title_block ",
"https://7dazemfg.com/collections/all",".hidden-product-link",".thumbnail-overlay",".title",
"https://narmods.com/narda/",".woocommerce-LoopProduct-link",".image_frame.scale-with-grid.product-loop-thumb",".desc",
"http://blitzvapes.com/",".grid-content",".image-overlay.overlay-type-extern",".grid-content",
"http://www.asmodus.com/default.asp",".card__wrapper.text-center",".card__image.card__image--align.fade-in.lazyautosizes.lazyloaded",".card__name.h4",
"https://www.528custom.com/",".product-grid-item.text-center",".product-grid-image--centered",".h6.color-secondary",
"http://www.hellfiremods.co.uk/",".ProductDetails",".ProductImage.QuickView",".pname",
"http://www.viviunited.com/shop.asp?sort_id=2",".title",".this.src=",".img/noimage.jpg",".title"
"http://www.lefrenchliquide.com/fr/koddo-pods/koddo/",".product_img_link",".replace-2x.img-responsive",".product-name",
"http://www.greencig.com/products",".tit-url",".img-url",".tit-url",
"https://bndlstech.com/",".woocommerce-LoopProduct-link.woocommerce-loop-product__link",".attachment-w300h400.size-w300h400.wp-post-image",".woocommerce-loop-product__title",
"http://fairwindscannabis.com/","..vc_col-sm-3.wpb_column.vc_column_container  ",".attachment-woocommerce_thumbnail.size-woocommerce_thumbnail",".woocommerce-loop-product__title",
"https://cig2o.com/",".button.btn-cart",".alt-img",".product-name",
"http://www.vapehoneystick.com/",".add-to-links.clearer.addto-links-icons.addto-onimage.onhover",".product-image",".product-name",
"http://junovapor.com/",".product-wrapper ",".first-image",".name",
"http://www.deaflavor.com/en/iDEA-electronic-cigarette/idea-hardware",".three.columns.element.tid-138.isotope-item",".foaf:Image",".title",
"https://www.apolloecigs.com/e-cigarette-vape-kits",".item-area",".product-image",".product-name",
"https://www.blu.com/en/US/e-cigs",".sc-19ugkdq-0.dcqmlO",".xqskge-0.fbMWZP",".sc-1pp3qof-0.kFCuGi",
"http://njoy.com/",".card-body",".card-image.lazyautosizes.lazyloaded",".card-title",
"https://www.vapor4life.com/vape-kits/",".product-name",".front.margin-image ",".product-name",
"https://www.migvapor.com/",".item-title",".item-image.lazy.loaded",".item-title",
"https://www.buyv2cigs.co.uk/",".prod-item",".prod-image ",".prod-name",
"http://digiflavor.com/",".alignnone.rollover.this-ready",".iso-lazy-load.preload-me.height-ready.iso-layzr-loaded",".entry-title",
"https://epuffer.com/",".ty-grid-body",".ty-pict    .cm-image",".product-title",
"http://www.hugovapor.com/shop/",".links-on-image",".product-image",".product-loop-title.product-name",
"https://www.kennedyvapor.com/",".itemListElement",".relative.product_image",".name",
"http://smartmods.pl/",".quickview",".thumbnail.product-thumbnail",".name",
"http://www.vaporin.com/vaporizers.html",".qv-e-button.btn-quickview-3",".product-image",".product-name",
"https://www.vpurevape.com/",".item.last",".product-image",".product-name",
"https://www.kulishop.com/collections/vaporizer-kits?sort_by=price-descending",".grid-item.one.light",".grid-item.one.light",".top",
"http://www.titanide.fr/",".c_item",".thumbnail.product-thumbnail",".name",
"http://phixvapor.com/index.php/phix/",".url",".relative.product_image",".name",
"https://www.vaporshark.com/dna",".product-item-link",".product-image-photo.default_image.porto-lazyload.porto-lazyload-loaded",".product.name.product-item-name",
"https://mylevapor.com/",".quick-view",".image",".product-title",
"http://www.babytoncig.com/",".title-link.icbu-link-normal",".product-image",".title-con",
"https://www.vapedynamics.com/products.html",".product-image-photo",".link-custom",".product-name",
"https://en.jimmyz.store",".product_list_thumb_link",".attachment-woocommerce_thumbnail.size-woocommerce_thumbnail.wp-post-image",".product-title",
"http://www.steamtuners.gr/",".ast-loop-product__link",".astra-shop-thumbnail-wrap",".woocommerce-loop-product__title",
"https://www.misticecigs.com/mistic-2-0-pod-mod/",".item.last",".product-image",".product-name",
"https://vapage.com/",".owl-item",".product-image",".product-name",
"http://fasteddiesvapedistro.com/product-category/purge/",".grid-product__link ",".grid-product__secondary-image.small--hide.lazyloaded",".grid-product__title.grid-product__title--heading",
"http://www.ovaleusa.com/e-cigs/",".btn.icon-Choose.Options",".ProductImage.QuickView","..pname",
"http://www.ovaleasia.com/",".product-list-grid-item",".product-thumbnail-wrapper",".product-item-name",
"http://www.vapethink.com/",".fusion-carousel-title",".fusion-image-wrapper",".fusion-carousel-title",
"http://www.thekindpen.com/products/",".product-small.box ",".attachment-woocommerce_thumbnail.size-woocommerce_thumbnail",".name.product-title",
"https://www.ikrusher.com/",".mf-product-thumbnail",".image/webp",".mf-product-content",
"https://www.flawlessvapedistro.com/",".product-vendor",".product-grid-image",".product-title.123",
"https://www.curaleaf.com/",".col-lg-12.col-3",".woocommerce-placeholder.wp-post-image",".card-title.text-center.woocommerce-loop-product__title",
"http://ravensmoonvapor.com/product-category/e-liquids/",".item",".attachment-shop_catalog.size-shop_catalog.wp-post-image",".ptitle",
"http://www.joecig.com/products-list.htm",".mc-click-target",".image1",".product-title",
"https://dotmod.com/",".c-btn.c-btn--full.c-btn--primary.c-btn--arrow.c-btn--small-tab.product-btn__btn",".product__img.img-lazyload.js.lazyautosizes.lazyloaded",".product__title.h4",
"http://www.b2cvape.com/s-riscle",".products_bg",".products_img",".products_title",
"http://www.arteryvapor.com/",".vc_gitem-link.vc-zone-link",".vc_grid-item-mini.vc_clearfix",".vc_custom_heading.vc_gitem-post-data.vc_gitem-post-data-source-post_title",
"https://www.mcmmods.com/",".product-item-root",".wix-media-image",".product-item-name",
"https://promistvapor.com/index.php",".product-title",".ty-pict    .cm-image",".ty-grid-list__item-name",
"http://www.anlerr.com/",".product-photo",".product-photo",".product-name",
"http://gomodders.com/our-shop/",".actions-addtocart .product_type_simple",".attachment-woocommerce_thumbnail.size-woocommerce_thumbnail",".headline",
